기준일시,공급능력(kW),현재수요(kW),신재생총합(kW),신재생태양광(kW),신재생풍력(kW)
2024-07-09 00:00:00,1411000.0,779000.0,131755.0,0.0,117379.0
2024-07-09 00:05:00,1415000.0,776000.0,129957.0,0.0,115651.0
2024-07-09 00:10:00,1411000.0,769000.0,129584.0,0.0,115357.0
2024-07-09 00:15:00,1410000.0,764000.0,130226.0,0.0,115503.0
2024-07-09 00:20:00,1417000.0,762000.0,131227.0,0.0,116620.0
2024-07-09 00:25:00,1416000.0,753000.0,134893.0,0.0,121549.0
2024-07-09 00:30:00,1410000.0,750000.0,126857.0,0.0,113925.0
2024-07-09 00:35:00,1418000.0,749000.0,133524.0,0.0,119489.0
2024-07-09 00:40:00,1411000.0,741000.0,128516.0,0.0,115905.0
2024-07-09 00:45:00,1415000.0,735000.0,130227.0,0.0,117705.0
2024-07-09 00:50:00,1419000.0,732000.0,133277.0,0.0,119203.0
2024-07-09 00:55:00,1419000.0,728000.0,135243.0,0.0,121026.0
2024-07-09 01:00:00,1419000.0,723000.0,133738.0,0.0,119492.0
2024-07-09 01:05:00,1418000.0,721000.0,136186.0,0.0,121954.0
2024-07-09 01:10:00,1417000.0,716000.0,135952.0,0.0,122827.0
2024-07-09 01:15:00,1424000.0,708000.0,140011.0,0.0,125623.0
2024-07-09 01:20:00,1421000.0,709000.0,139155.0,0.0,124492.0
2024-07-09 01:25:00,1423000.0,706000.0,141904.0,0.0,127274.0
2024-07-09 01:30:00,1418000.0,699000.0,136881.0,0.0,122363.0
2024-07-09 01:35:00,1420000.0,696000.0,138141.0,0.0,123483.0
2024-07-09 01:40:00,1423000.0,694000.0,138060.0,0.0,123264.0
2024-07-09 01:45:00,1416000.0,696000.0,132079.0,0.0,117298.0
2024-07-09 01:50:00,1412000.0,684000.0,128090.0,0.0,113330.0
2024-07-09 01:55:00,1415000.0,683000.0,130031.0,0.0,115139.0
2024-07-09 02:00:00,1404000.0,682000.0,124901.0,0.0,110173.0
2024-07-09 02:05:00,1409000.0,681000.0,124389.0,0.0,109562.0
2024-07-09 02:10:00,1404000.0,673000.0,119289.0,0.0,104458.0
2024-07-09 02:15:00,1401000.0,675000.0,115765.0,0.0,100955.0
2024-07-09 02:20:00,1407000.0,671000.0,118749.0,0.0,105488.0
2024-07-09 02:25:00,1409000.0,667000.0,122902.0,0.0,108209.0
2024-07-09 02:30:00,1405000.0,663000.0,119388.0,0.0,104389.0
2024-07-09 02:35:00,1407000.0,661000.0,121333.0,0.0,106469.0
2024-07-09 02:40:00,1403000.0,662000.0,115979.0,0.0,102267.0
2024-07-09 02:45:00,1406000.0,663000.0,118193.0,0.0,103535.0
2024-07-09 02:50:00,1405000.0,658000.0,118389.0,0.0,103734.0
2024-07-09 02:55:00,1406000.0,661000.0,117360.0,0.0,102670.0
2024-07-09 03:00:00,1403000.0,658000.0,116343.0,0.0,101681.0
2024-07-09 03:05:00,1407000.0,655000.0,123327.0,0.0,108928.0
2024-07-09 03:10:00,1400000.0,655000.0,112228.0,0.0,97437.2
2024-07-09 03:15:00,1399000.0,653000.0,111294.0,0.0,96517.5
2024-07-09 03:20:00,1391000.0,653000.0,103519.0,0.0,88847.5
2024-07-09 03:25:00,1397000.0,655000.0,109791.0,0.0,95065.6
2024-07-09 03:30:00,1396000.0,651000.0,112147.0,0.0,97327.2
2024-07-09 03:35:00,1404000.0,647000.0,116474.0,0.0,101633.0
2024-07-09 03:40:00,1412000.0,646000.0,125196.0,0.0,110378.0
2024-07-09 03:45:00,1419000.0,647000.0,132677.0,0.0,117945.0
2024-07-09 03:50:00,1420000.0,645000.0,133110.0,0.0,118369.0
2024-07-09 03:55:00,1430000.0,646000.0,145830.0,0.0,131286.0
2024-07-09 04:00:00,1429000.0,647000.0,143496.0,0.0,130456.0
2024-07-09 04:05:00,1422000.0,647000.0,134305.0,0.0,120663.0
2024-07-09 04:10:00,1420000.0,643000.0,134874.0,0.0,120623.0
2024-07-09 04:15:00,1423000.0,636000.0,136997.0,0.0,122734.0
2024-07-09 04:20:00,1430000.0,635000.0,145242.0,0.0,131971.0
2024-07-09 04:25:00,1433000.0,634000.0,147894.0,0.0,133735.0
2024-07-09 04:30:00,1433000.0,639000.0,148852.0,0.0,134700.0
2024-07-09 04:35:00,1430000.0,638000.0,142043.0,0.0,127935.0
2024-07-09 04:40:00,1419000.0,637000.0,133065.0,0.0,120193.0
2024-07-09 04:45:00,1418000.0,635000.0,132103.0,0.0,118112.0
2024-07-09 04:50:00,1410000.0,633000.0,123371.0,0.0,109078.0
2024-07-09 04:55:00,1412000.0,639000.0,124948.0,0.0,110668.0
2024-07-09 05:00:00,1408000.0,637000.0,121962.0,0.0,107641.0
2024-07-09 05:05:00,1409000.0,644000.0,126379.0,0.0,111849.0
2024-07-09 05:10:00,1412000.0,642000.0,128014.0,0.0,113475.0
2024-07-09 05:15:00,1416000.0,642000.0,130131.0,0.0,115547.0
2024-07-09 05:20:00,1415000.0,645000.0,131339.0,0.0,116910.0
2024-07-09 05:25:00,1412000.0,641000.0,126589.0,0.0,113961.0
2024-07-09 05:30:00,1414000.0,641000.0,126783.0,0.0,112206.0
2024-07-09 05:35:00,1411000.0,639000.0,124636.0,0.0,110177.0
2024-07-09 05:40:00,1414000.0,650000.0,128793.0,0.0,115656.0
2024-07-09 05:45:00,1414000.0,649000.0,127968.0,0.0,113438.0
2024-07-09 05:50:00,1411000.0,654000.0,123223.0,0.0,109927.0
2024-07-09 05:55:00,1405000.0,656000.0,119878.0,0.0,106422.0
2024-07-09 06:00:00,1414000.0,665000.0,127331.0,0.0,113113.0
2024-07-09 06:05:00,1419000.0,672000.0,134242.0,0.0,119775.0
2024-07-09 06:10:00,1415000.0,678000.0,128939.0,0.0,114217.0
2024-07-09 06:15:00,1417000.0,678000.0,132310.0,0.0,117060.0
2024-07-09 06:20:00,1418000.0,677000.0,129567.0,1398.02,113689.0
2024-07-09 06:25:00,1413000.0,685000.0,128018.0,1834.95,112905.0
2024-07-09 06:30:00,1416000.0,689000.0,126833.0,2390.93,111604.0
2024-07-09 06:35:00,1418000.0,698000.0,132535.0,3157.77,116753.0
2024-07-09 06:40:00,1414000.0,696000.0,128732.0,4205.94,112750.0
