,시간,07-01 (월)
0,최대,155.09
1,최소,95.29
2,가중평균,138.25
3,01시 1구간,108.35
4,01시 2구간,108.35
5,01시 3구간,108.35
6,01시 4구간,108.35
7,02시 1구간,95.29
8,02시 2구간,95.29
9,02시 3구간,95.29
10,02시 4구간,95.29
11,03시 1구간,95.29
12,03시 2구간,95.29
13,03시 3구간,95.29
14,03시 4구간,95.29
15,04시 1구간,95.29
16,04시 2구간,95.29
17,04시 3구간,95.29
18,04시 4구간,95.29
19,05시 1구간,95.29
20,05시 2구간,95.29
21,05시 3구간,95.29
22,05시 4구간,95.29
23,06시 1구간,95.29
24,06시 2구간,95.29
25,06시 3구간,95.29
26,06시 4구간,95.29
27,07시 1구간,108.35
28,07시 2구간,108.35
29,07시 3구간,108.35
30,07시 4구간,108.35
31,08시 1구간,132.39
32,08시 2구간,132.39
33,08시 3구간,132.39
34,08시 4구간,132.39
35,09시 1구간,142.42
36,09시 2구간,142.42
37,09시 3구간,142.42
38,09시 4구간,142.42
39,10시 1구간,145.45
40,10시 2구간,145.45
41,10시 3구간,152.3
42,10시 4구간,152.51
43,11시 1구간,152.4
44,11시 2구간,152.4
45,11시 3구간,152.4
46,11시 4구간,152.38
47,12시 1구간,152.25
48,12시 2구간,152.25
49,12시 3구간,152.25
50,12시 4구간,152.11
51,13시 1구간,151.74
52,13시 2구간,151.74
53,13시 3구간,151.74
54,13시 4구간,152.0
55,14시 1구간,152.0
56,14시 2구간,152.0
57,14시 3구간,152.0
58,14시 4구간,152.0
59,15시 1구간,153.77
60,15시 2구간,153.77
61,15시 3구간,153.77
62,15시 4구간,153.77
63,16시 1구간,155.09
64,16시 2구간,155.09
65,16시 3구간,155.09
66,16시 4구간,155.09
67,17시 1구간,154.43
68,17시 2구간,154.43
69,17시 3구간,154.43
70,17시 4구간,154.43
71,18시 1구간,152.13
72,18시 2구간,152.13
73,18시 3구간,152.13
74,18시 4구간,152.0
75,19시 1구간,152.01
76,19시 2구간,152.01
77,19시 3구간,152.02
78,19시 4구간,152.02
79,20시 1구간,152.39
80,20시 2구간,152.39
81,20시 3구간,152.39
82,20시 4구간,152.39
83,21시 1구간,152.39
84,21시 2구간,152.39
85,21시 3구간,152.39
86,21시 4구간,152.39
87,22시 1구간,152.39
88,22시 2구간,152.4
89,22시 3구간,152.41
90,22시 4구간,152.42
91,23시 1구간,152.5
92,23시 2구간,152.37
93,23시 3구간,152.37
94,23시 4구간,136.44
95,24시 1구간,136.41
96,24시 2구간,136.41
97,24시 3구간,136.41
98,24시 4구간,136.41
