,시간,09-14 (토)
0,최대,234.06
1,최소,134.55
2,가중평균,156.99
3,01시 1구간,170.14
4,01시 2구간,170.14
5,01시 3구간,170.14
6,01시 4구간,170.14
7,02시 1구간,154.69
8,02시 2구간,143.77
9,02시 3구간,143.77
10,02시 4구간,143.77
11,03시 1구간,137.95
12,03시 2구간,137.95
13,03시 3구간,137.95
14,03시 4구간,137.95
15,04시 1구간,137.72
16,04시 2구간,137.72
17,04시 3구간,137.72
18,04시 4구간,137.72
19,05시 1구간,134.55
20,05시 2구간,134.55
21,05시 3구간,134.55
22,05시 4구간,134.55
23,06시 1구간,134.55
24,06시 2구간,134.55
25,06시 3구간,134.55
26,06시 4구간,134.55
27,07시 1구간,144.83
28,07시 2구간,144.83
29,07시 3구간,144.83
30,07시 4구간,144.83
31,08시 1구간,144.83
32,08시 2구간,144.83
33,08시 3구간,144.83
34,08시 4구간,144.83
35,09시 1구간,145.15
36,09시 2구간,145.15
37,09시 3구간,145.15
38,09시 4구간,145.15
39,10시 1구간,157.52
40,10시 2구간,157.52
41,10시 3구간,157.52
42,10시 4구간,157.52
43,11시 1구간,157.52
44,11시 2구간,157.52
45,11시 3구간,157.52
46,11시 4구간,157.43
47,12시 1구간,148.84
48,12시 2구간,148.84
49,12시 3구간,148.84
50,12시 4구간,148.84
51,13시 1구간,148.84
52,13시 2구간,148.84
53,13시 3구간,148.84
54,13시 4구간,148.84
55,14시 1구간,151.7
56,14시 2구간,151.7
57,14시 3구간,151.7
58,14시 4구간,151.7
59,15시 1구간,157.38
60,15시 2구간,157.38
61,15시 3구간,157.38
62,15시 4구간,157.39
63,16시 1구간,157.39
64,16시 2구간,157.39
65,16시 3구간,157.39
66,16시 4구간,212.47
67,17시 1구간,215.53
68,17시 2구간,213.41
69,17시 3구간,157.22
70,17시 4구간,157.27
71,18시 1구간,157.27
72,18시 2구간,231.12
73,18시 3구간,234.06
74,18시 4구간,225.95
75,19시 1구간,159.61
76,19시 2구간,159.61
77,19시 3구간,159.61
78,19시 4구간,159.61
79,20시 1구간,159.61
80,20시 2구간,159.61
81,20시 3구간,159.61
82,20시 4구간,159.61
83,21시 1구간,159.89
84,21시 2구간,160.16
85,21시 3구간,160.4
86,21시 4구간,160.61
87,22시 1구간,160.16
88,22시 2구간,160.34
89,22시 3구간,160.5
90,22시 4구간,160.64
91,23시 1구간,159.9
92,23시 2구간,159.9
93,23시 3구간,142.97
94,23시 4구간,142.97
95,24시 1구간,142.55
96,24시 2구간,142.55
97,24시 3구간,142.55
98,24시 4구간,142.55
