,시간,07-15 (월)
0,최대,180.14
1,최소,95.22
2,가중평균,135.74
3,01시 1구간,100.77
4,01시 2구간,100.77
5,01시 3구간,100.77
6,01시 4구간,100.77
7,02시 1구간,95.22
8,02시 2구간,95.22
9,02시 3구간,95.22
10,02시 4구간,95.22
11,03시 1구간,95.22
12,03시 2구간,95.22
13,03시 3구간,95.22
14,03시 4구간,95.22
15,04시 1구간,95.22
16,04시 2구간,95.22
17,04시 3구간,95.22
18,04시 4구간,95.22
19,05시 1구간,95.22
20,05시 2구간,95.22
21,05시 3구간,95.22
22,05시 4구간,95.22
23,06시 1구간,95.22
24,06시 2구간,95.22
25,06시 3구간,95.22
26,06시 4구간,95.22
27,07시 1구간,100.77
28,07시 2구간,100.77
29,07시 3구간,100.77
30,07시 4구간,100.77
31,08시 1구간,104.56
32,08시 2구간,104.56
33,08시 3구간,104.56
34,08시 4구간,104.56
35,09시 1구간,137.22
36,09시 2구간,137.22
37,09시 3구간,137.22
38,09시 4구간,137.22
39,10시 1구간,153.22
40,10시 2구간,153.22
41,10시 3구간,153.22
42,10시 4구간,153.38
43,11시 1구간,150.63
44,11시 2구간,150.63
45,11시 3구간,150.63
46,11시 4구간,150.67
47,12시 1구간,154.11
48,12시 2구간,154.11
49,12시 3구간,154.11
50,12시 4구간,154.11
51,13시 1구간,150.46
52,13시 2구간,150.46
53,13시 3구간,150.46
54,13시 4구간,150.48
55,14시 1구간,154.38
56,14시 2구간,154.38
57,14시 3구간,154.38
58,14시 4구간,154.38
59,15시 1구간,180.14
60,15시 2구간,180.14
61,15시 3구간,180.14
62,15시 4구간,180.14
63,16시 1구간,154.74
64,16시 2구간,154.74
65,16시 3구간,154.74
66,16시 4구간,154.67
67,17시 1구간,153.4
68,17시 2구간,153.4
69,17시 3구간,153.11
70,17시 4구간,153.17
71,18시 1구간,150.56
72,18시 2구간,150.55
73,18시 3구간,150.55
74,18시 4구간,150.69
75,19시 1구간,150.69
76,19시 2구간,150.69
77,19시 3구간,150.69
78,19시 4구간,150.89
79,20시 1구간,150.88
80,20시 2구간,150.86
81,20시 3구간,150.89
82,20시 4구간,150.89
83,21시 1구간,151.58
84,21시 2구간,151.58
85,21시 3구간,150.97
86,21시 4구간,137.22
87,22시 1구간,135.53
88,22시 2구간,135.53
89,22시 3구간,135.53
90,22시 4구간,135.53
91,23시 1구간,133.69
92,23시 2구간,133.69
93,23시 3구간,133.69
94,23시 4구간,133.69
95,24시 1구간,120.01
96,24시 2구간,120.01
97,24시 3구간,120.01
98,24시 4구간,120.01
