,시간,09-04 (수)
0,최대,160.78
1,최소,106.07
2,가중평균,146.72
3,01시 1구간,107.06
4,01시 2구간,107.06
5,01시 3구간,107.06
6,01시 4구간,107.06
7,02시 1구간,107.07
8,02시 2구간,107.07
9,02시 3구간,107.07
10,02시 4구간,107.07
11,03시 1구간,106.74
12,03시 2구간,106.74
13,03시 3구간,106.74
14,03시 4구간,106.74
15,04시 1구간,106.33
16,04시 2구간,106.33
17,04시 3구간,106.33
18,04시 4구간,106.33
19,05시 1구간,106.07
20,05시 2구간,106.07
21,05시 3구간,106.07
22,05시 4구간,106.07
23,06시 1구간,106.97
24,06시 2구간,106.97
25,06시 3구간,106.97
26,06시 4구간,106.97
27,07시 1구간,134.88
28,07시 2구간,134.88
29,07시 3구간,134.88
30,07시 4구간,134.88
31,08시 1구간,145.44
32,08시 2구간,145.44
33,08시 3구간,145.44
34,08시 4구간,145.44
35,09시 1구간,159.38
36,09시 2구간,159.38
37,09시 3구간,159.38
38,09시 4구간,159.35
39,10시 1구간,159.2
40,10시 2구간,159.26
41,10시 3구간,159.19
42,10시 4구간,159.22
43,11시 1구간,159.11
44,11시 2구간,159.14
45,11시 3구간,159.04
46,11시 4구간,157.59
47,12시 1구간,149.15
48,12시 2구간,149.15
49,12시 3구간,149.15
50,12시 4구간,149.15
51,13시 1구간,148.72
52,13시 2구간,148.72
53,13시 3구간,148.72
54,13시 4구간,148.72
55,14시 1구간,151.11
56,14시 2구간,151.11
57,14시 3구간,151.11
58,14시 4구간,151.11
59,15시 1구간,159.52
60,15시 2구간,159.52
61,15시 3구간,159.52
62,15시 4구간,159.97
63,16시 1구간,159.97
64,16시 2구간,159.97
65,16시 3구간,159.97
66,16시 4구간,159.97
67,17시 1구간,159.97
68,17시 2구간,159.97
69,17시 3구간,159.97
70,17시 4구간,159.97
71,18시 1구간,159.97
72,18시 2구간,159.97
73,18시 3구간,159.97
74,18시 4구간,159.97
75,19시 1구간,160.14
76,19시 2구간,160.14
77,19시 3구간,160.14
78,19시 4구간,160.14
79,20시 1구간,160.47
80,20시 2구간,160.47
81,20시 3구간,160.47
82,20시 4구간,160.59
83,21시 1구간,160.64
84,21시 2구간,160.64
85,21시 3구간,160.66
86,21시 4구간,160.78
87,22시 1구간,159.34
88,22시 2구간,159.32
89,22시 3구간,159.29
90,22시 4구간,159.27
91,23시 1구간,159.86
92,23시 2구간,158.96
93,23시 3구간,158.96
94,23시 4구간,158.96
95,24시 1구간,160.03
96,24시 2구간,160.03
97,24시 3구간,160.03
98,24시 4구간,160.03
