,시간,08-22 (목)
0,최대,159.03
1,최소,129.07
2,가중평균,152.02
3,01시 1구간,143.3
4,01시 2구간,143.3
5,01시 3구간,143.3
6,01시 4구간,143.3
7,02시 1구간,136.96
8,02시 2구간,136.96
9,02시 3구간,136.96
10,02시 4구간,136.96
11,03시 1구간,138.07
12,03시 2구간,138.07
13,03시 3구간,138.07
14,03시 4구간,138.07
15,04시 1구간,129.07
16,04시 2구간,129.07
17,04시 3구간,129.07
18,04시 4구간,129.07
19,05시 1구간,129.07
20,05시 2구간,129.07
21,05시 3구간,129.07
22,05시 4구간,129.07
23,06시 1구간,138.73
24,06시 2구간,138.73
25,06시 3구간,138.73
26,06시 4구간,138.73
27,07시 1구간,140.77
28,07시 2구간,140.77
29,07시 3구간,140.77
30,07시 4구간,140.77
31,08시 1구간,141.18
32,08시 2구간,141.18
33,08시 3구간,141.18
34,08시 4구간,141.18
35,09시 1구간,146.13
36,09시 2구간,146.13
37,09시 3구간,146.13
38,09시 4구간,146.13
39,10시 1구간,157.11
40,10시 2구간,157.11
41,10시 3구간,157.19
42,10시 4구간,157.0
43,11시 1구간,157.69
44,11시 2구간,157.69
45,11시 3구간,157.69
46,11시 4구간,157.69
47,12시 1구간,156.82
48,12시 2구간,156.43
49,12시 3구간,156.15
50,12시 4구간,157.69
51,13시 1구간,155.33
52,13시 2구간,156.31
53,13시 3구간,157.9
54,13시 4구간,157.69
55,14시 1구간,157.64
56,14시 2구간,157.64
57,14시 3구간,157.64
58,14시 4구간,158.07
59,15시 1구간,158.72
60,15시 2구간,158.72
61,15시 3구간,158.72
62,15시 4구간,158.72
63,16시 1구간,158.72
64,16시 2구간,158.72
65,16시 3구간,158.72
66,16시 4구간,158.72
67,17시 1구간,158.72
68,17시 2구간,158.72
69,17시 3구간,158.72
70,17시 4구간,158.72
71,18시 1구간,157.77
72,18시 2구간,157.77
73,18시 3구간,157.77
74,18시 4구간,158.3
75,19시 1구간,158.3
76,19시 2구간,158.41
77,19시 3구간,158.52
78,19시 4구간,158.41
79,20시 1구간,158.96
80,20시 2구간,159.0
81,20시 3구간,159.03
82,20시 4구간,159.02
83,21시 1구간,156.72
84,21시 2구간,156.77
85,21시 3구간,156.83
86,21시 4구간,156.81
87,22시 1구간,156.62
88,22시 2구간,156.68
89,22시 3구간,156.74
90,22시 4구간,156.8
91,23시 1구간,157.48
92,23시 2구간,156.73
93,23시 3구간,156.73
94,23시 4구간,156.73
95,24시 1구간,157.55
96,24시 2구간,157.35
97,24시 3구간,157.35
98,24시 4구간,157.35
