,시간,07-21 (일)
0,최대,183.78
1,최소,-74.47
2,가중평균,110.21
3,01시 1구간,101.39
4,01시 2구간,101.39
5,01시 3구간,101.39
6,01시 4구간,101.39
7,02시 1구간,100.65
8,02시 2구간,100.65
9,02시 3구간,100.65
10,02시 4구간,100.65
11,03시 1구간,99.9
12,03시 2구간,99.9
13,03시 3구간,99.9
14,03시 4구간,99.9
15,04시 1구간,95.71
16,04시 2구간,95.71
17,04시 3구간,95.71
18,04시 4구간,95.71
19,05시 1구간,95.64
20,05시 2구간,95.64
21,05시 3구간,95.64
22,05시 4구간,95.64
23,06시 1구간,95.71
24,06시 2구간,95.71
25,06시 3구간,95.71
26,06시 4구간,95.71
27,07시 1구간,101.28
28,07시 2구간,101.28
29,07시 3구간,101.28
30,07시 4구간,101.28
31,08시 1구간,101.39
32,08시 2구간,101.39
33,08시 3구간,101.39
34,08시 4구간,101.39
35,09시 1구간,132.91
36,09시 2구간,132.91
37,09시 3구간,132.91
38,09시 4구간,132.91
39,10시 1구간,183.78
40,10시 2구간,183.78
41,10시 3구간,122.63
42,10시 4구간,-2.0
43,11시 1구간,-74.47
44,11시 2구간,-74.47
45,11시 3구간,-74.47
46,11시 4구간,-74.47
47,12시 1구간,-74.47
48,12시 2구간,-74.47
49,12시 3구간,-74.47
50,12시 4구간,-74.47
51,13시 1구간,-74.47
52,13시 2구간,-2.0
53,13시 3구간,138.27
54,13시 4구간,138.27
55,14시 1구간,142.6
56,14시 2구간,142.6
57,14시 3구간,142.6
58,14시 4구간,142.6
59,15시 1구간,152.06
60,15시 2구간,152.06
61,15시 3구간,152.06
62,15시 4구간,151.9
63,16시 1구간,142.97
64,16시 2구간,142.97
65,16시 3구간,142.97
66,16시 4구간,142.97
67,17시 1구간,141.35
68,17시 2구간,141.35
69,17시 3구간,141.35
70,17시 4구간,141.35
71,18시 1구간,153.33
72,18시 2구간,153.31
73,18시 3구간,153.3
74,18시 4구간,153.27
75,19시 1구간,153.18
76,19시 2구간,153.17
77,19시 3구간,153.16
78,19시 4구간,153.15
79,20시 1구간,153.52
80,20시 2구간,153.52
81,20시 3구간,153.52
82,20시 4구간,153.52
83,21시 1구간,153.68
84,21시 2구간,153.66
85,21시 3구간,153.64
86,21시 4구간,153.62
87,22시 1구간,155.94
88,22시 2구간,155.98
89,22시 3구간,156.02
90,22시 4구간,156.05
91,23시 1구간,154.24
92,23시 2구간,153.71
93,23시 3구간,154.24
94,23시 4구간,154.24
95,24시 1구간,114.5
96,24시 2구간,114.5
97,24시 3구간,114.5
98,24시 4구간,114.5
