,시간,03-26 (화)
0,최대,203.29
1,최소,-19.0
2,가중평균,153.56
3,01시 1구간,168.04
4,01시 2구간,168.04
5,01시 3구간,168.04
6,01시 4구간,168.04
7,02시 1구간,155.78
8,02시 2구간,155.78
9,02시 3구간,155.78
10,02시 4구간,155.75
11,03시 1구간,120.11
12,03시 2구간,120.11
13,03시 3구간,120.11
14,03시 4구간,120.11
15,04시 1구간,120.24
16,04시 2구간,120.24
17,04시 3구간,120.24
18,04시 4구간,120.24
19,05시 1구간,120.24
20,05시 2구간,120.24
21,05시 3구간,120.24
22,05시 4구간,120.24
23,06시 1구간,120.24
24,06시 2구간,120.24
25,06시 3구간,120.24
26,06시 4구간,120.24
27,07시 1구간,126.78
28,07시 2구간,126.78
29,07시 3구간,126.78
30,07시 4구간,126.78
31,08시 1구간,156.13
32,08시 2구간,156.13
33,08시 3구간,156.13
34,08시 4구간,156.13
35,09시 1구간,168.92
36,09시 2구간,169.09
37,09시 3구간,169.09
38,09시 4구간,169.09
39,10시 1구간,203.29
40,10시 2구간,203.29
41,10시 3구간,203.29
42,10시 4구간,203.29
43,11시 1구간,159.51
44,11시 2구간,159.51
45,11시 3구간,159.51
46,11시 4구간,159.51
47,12시 1구간,154.11
48,12시 2구간,154.11
49,12시 3구간,154.11
50,12시 4구간,154.11
51,13시 1구간,143.35
52,13시 2구간,143.35
53,13시 3구간,143.35
54,13시 4구간,143.35
55,14시 1구간,143.35
56,14시 2구간,143.35
57,14시 3구간,143.35
58,14시 4구간,143.35
59,15시 1구간,143.35
60,15시 2구간,143.35
61,15시 3구간,143.35
62,15시 4구간,143.35
63,16시 1구간,143.55
64,16시 2구간,143.55
65,16시 3구간,143.55
66,16시 4구간,143.55
67,17시 1구간,156.13
68,17시 2구간,-19.0
69,17시 3구간,164.84
70,17시 4구간,154.11
71,18시 1구간,161.07
72,18시 2구간,169.39
73,18시 3구간,168.98
74,18시 4구간,168.94
75,19시 1구간,170.12
76,19시 2구간,170.12
77,19시 3구간,170.12
78,19시 4구간,170.12
79,20시 1구간,170.12
80,20시 2구간,170.12
81,20시 3구간,170.12
82,20시 4구간,170.12
83,21시 1구간,172.35
84,21시 2구간,172.35
85,21시 3구간,172.35
86,21시 4구간,170.2
87,22시 1구간,169.07
88,22시 2구간,169.07
89,22시 3구간,169.07
90,22시 4구간,169.07
91,23시 1구간,170.27
92,23시 2구간,170.98
93,23시 3구간,170.98
94,23시 4구간,170.98
95,24시 1구간,169.77
96,24시 2구간,169.77
97,24시 3구간,169.07
98,24시 4구간,169.07
