,시간,08-27 (화)
0,최대,165.58
1,최소,127.47
2,가중평균,152.33
3,01시 1구간,158.89
4,01시 2구간,158.89
5,01시 3구간,158.89
6,01시 4구간,158.89
7,02시 1구간,158.89
8,02시 2구간,158.89
9,02시 3구간,158.89
10,02시 4구간,158.89
11,03시 1구간,129.24
12,03시 2구간,129.24
13,03시 3구간,129.24
14,03시 4구간,129.24
15,04시 1구간,127.47
16,04시 2구간,127.47
17,04시 3구간,127.47
18,04시 4구간,127.47
19,05시 1구간,127.47
20,05시 2구간,127.47
21,05시 3구간,127.47
22,05시 4구간,127.47
23,06시 1구간,129.07
24,06시 2구간,129.07
25,06시 3구간,129.07
26,06시 4구간,129.07
27,07시 1구간,139.25
28,07시 2구간,139.25
29,07시 3구간,139.25
30,07시 4구간,139.25
31,08시 1구간,141.43
32,08시 2구간,141.43
33,08시 3구간,141.43
34,08시 4구간,141.43
35,09시 1구간,143.99
36,09시 2구간,143.99
37,09시 3구간,143.99
38,09시 4구간,143.99
39,10시 1구간,157.63
40,10시 2구간,157.63
41,10시 3구간,157.63
42,10시 4구간,157.63
43,11시 1구간,158.07
44,11시 2구간,158.07
45,11시 3구간,158.07
46,11시 4구간,158.07
47,12시 1구간,165.58
48,12시 2구간,165.58
49,12시 3구간,165.58
50,12시 4구간,165.58
51,13시 1구간,157.69
52,13시 2구간,157.69
53,13시 3구간,157.69
54,13시 4구간,157.69
55,14시 1구간,157.69
56,14시 2구간,157.69
57,14시 3구간,157.69
58,14시 4구간,157.69
59,15시 1구간,161.26
60,15시 2구간,161.26
61,15시 3구간,161.26
62,15시 4구간,161.26
63,16시 1구간,161.28
64,16시 2구간,161.28
65,16시 3구간,161.28
66,16시 4구간,161.28
67,17시 1구간,157.97
68,17시 2구간,157.97
69,17시 3구간,157.97
70,17시 4구간,157.97
71,18시 1구간,157.97
72,18시 2구간,157.97
73,18시 3구간,157.97
74,18시 4구간,157.97
75,19시 1구간,157.97
76,19시 2구간,157.97
77,19시 3구간,157.97
78,19시 4구간,157.97
79,20시 1구간,157.97
80,20시 2구간,157.97
81,20시 3구간,157.97
82,20시 4구간,157.97
83,21시 1구간,156.15
84,21시 2구간,156.15
85,21시 3구간,156.15
86,21시 4구간,156.15
87,22시 1구간,156.26
88,22시 2구간,156.26
89,22시 3구간,156.15
90,22시 4구간,156.15
91,23시 1구간,156.25
92,23시 2구간,156.25
93,23시 3구간,156.25
94,23시 4구간,142.04
95,24시 1구간,141.48
96,24시 2구간,141.48
97,24시 3구간,141.48
98,24시 4구간,141.48
