,시간,04-04 (목)
0,최대,162.45
1,최소,103.82
2,가중평균,151.18
3,01시 1구간,153.43
4,01시 2구간,149.56
5,01시 3구간,147.49
6,01시 4구간,154.53
7,02시 1구간,156.34
8,02시 2구간,156.63
9,02시 3구간,156.63
10,02시 4구간,156.63
11,03시 1구간,106.84
12,03시 2구간,106.84
13,03시 3구간,106.84
14,03시 4구간,106.84
15,04시 1구간,103.82
16,04시 2구간,103.82
17,04시 3구간,103.82
18,04시 4구간,103.82
19,05시 1구간,111.32
20,05시 2구간,111.32
21,05시 3구간,111.32
22,05시 4구간,111.32
23,06시 1구간,156.63
24,06시 2구간,156.63
25,06시 3구간,156.63
26,06시 4구간,156.63
27,07시 1구간,156.63
28,07시 2구간,156.63
29,07시 3구간,155.63
30,07시 4구간,155.63
31,08시 1구간,155.63
32,08시 2구간,155.63
33,08시 3구간,155.63
34,08시 4구간,155.63
35,09시 1구간,155.63
36,09시 2구간,155.63
37,09시 3구간,155.63
38,09시 4구간,155.63
39,10시 1구간,162.45
40,10시 2구간,162.45
41,10시 3구간,162.45
42,10시 4구간,162.45
43,11시 1구간,155.44
44,11시 2구간,155.44
45,11시 3구간,155.44
46,11시 4구간,150.95
47,12시 1구간,155.44
48,12시 2구간,155.44
49,12시 3구간,155.44
50,12시 4구간,155.44
51,13시 1구간,155.44
52,13시 2구간,155.44
53,13시 3구간,155.44
54,13시 4구간,155.44
55,14시 1구간,155.44
56,14시 2구간,155.44
57,14시 3구간,155.44
58,14시 4구간,155.44
59,15시 1구간,155.44
60,15시 2구간,155.44
61,15시 3구간,155.44
62,15시 4구간,155.44
63,16시 1구간,162.45
64,16시 2구간,162.45
65,16시 3구간,162.45
66,16시 4구간,162.45
67,17시 1구간,155.44
68,17시 2구간,155.44
69,17시 3구간,155.44
70,17시 4구간,155.44
71,18시 1구간,155.44
72,18시 2구간,155.44
73,18시 3구간,155.44
74,18시 4구간,155.44
75,19시 1구간,155.44
76,19시 2구간,155.44
77,19시 3구간,155.44
78,19시 4구간,155.44
79,20시 1구간,162.45
80,20시 2구간,162.45
81,20시 3구간,162.45
82,20시 4구간,162.45
83,21시 1구간,155.91
84,21시 2구간,155.44
85,21시 3구간,155.44
86,21시 4구간,155.44
87,22시 1구간,155.44
88,22시 2구간,155.44
89,22시 3구간,155.44
90,22시 4구간,155.44
91,23시 1구간,155.63
92,23시 2구간,155.63
93,23시 3구간,155.63
94,23시 4구간,155.63
95,24시 1구간,155.63
96,24시 2구간,155.63
97,24시 3구간,155.63
98,24시 4구간,157.21
