,시간,10-29 (화)
0,최대,214.43
1,최소,-48.0
2,가중평균,127.5
3,01시 1구간,107.71
4,01시 2구간,195.5
5,01시 3구간,107.71
6,01시 4구간,107.71
7,02시 1구간,92.37
8,02시 2구간,92.37
9,02시 3구간,92.37
10,02시 4구간,92.37
11,03시 1구간,92.33
12,03시 2구간,92.33
13,03시 3구간,92.33
14,03시 4구간,92.33
15,04시 1구간,92.07
16,04시 2구간,92.07
17,04시 3구간,-0.7
18,04시 4구간,-0.7
19,05시 1구간,92.27
20,05시 2구간,92.27
21,05시 3구간,92.27
22,05시 4구간,92.27
23,06시 1구간,92.37
24,06시 2구간,92.37
25,06시 3구간,92.37
26,06시 4구간,92.37
27,07시 1구간,113.39
28,07시 2구간,113.39
29,07시 3구간,113.39
30,07시 4구간,205.04
31,08시 1구간,210.05
32,08시 2구간,214.43
33,08시 3구간,117.8
34,08시 4구간,117.8
35,09시 1구간,139.29
36,09시 2구간,139.29
37,09시 3구간,139.29
38,09시 4구간,139.29
39,10시 1구간,139.33
40,10시 2구간,139.33
41,10시 3구간,139.33
42,10시 4구간,139.33
43,11시 1구간,155.48
44,11시 2구간,155.48
45,11시 3구간,155.48
46,11시 4구간,155.48
47,12시 1구간,138.92
48,12시 2구간,138.92
49,12시 3구간,138.92
50,12시 4구간,138.92
51,13시 1구간,138.71
52,13시 2구간,-48.0
53,13시 3구간,0.0
54,13시 4구간,0.0
55,14시 1구간,138.9
56,14시 2구간,138.9
57,14시 3구간,154.15
58,14시 4구간,155.13
59,15시 1구간,154.27
60,15시 2구간,154.27
61,15시 3구간,154.27
62,15시 4구간,155.24
63,16시 1구간,155.24
64,16시 2구간,155.24
65,16시 3구간,155.24
66,16시 4구간,155.24
67,17시 1구간,138.93
68,17시 2구간,155.97
69,17시 3구간,155.91
70,17시 4구간,155.91
71,18시 1구간,156.29
72,18시 2구간,156.29
73,18시 3구간,156.29
74,18시 4구간,156.29
75,19시 1구간,156.45
76,19시 2구간,156.45
77,19시 3구간,156.45
78,19시 4구간,156.45
79,20시 1구간,133.7
80,20시 2구간,133.7
81,20시 3구간,133.7
82,20시 4구간,133.7
83,21시 1구간,133.8
84,21시 2구간,133.8
85,21시 3구간,133.8
86,21시 4구간,133.8
87,22시 1구간,139.26
88,22시 2구간,139.26
89,22시 3구간,139.26
90,22시 4구간,139.26
91,23시 1구간,116.36
92,23시 2구간,116.36
93,23시 3구간,116.36
94,23시 4구간,116.36
95,24시 1구간,116.51
96,24시 2구간,116.51
97,24시 3구간,116.51
98,24시 4구간,116.51
