,시간,07-10 (수)
0,최대,153.01
1,최소,-0.68
2,가중평균,138.4
3,01시 1구간,124.19
4,01시 2구간,124.19
5,01시 3구간,124.19
6,01시 4구간,124.19
7,02시 1구간,99.99
8,02시 2구간,99.99
9,02시 3구간,99.99
10,02시 4구간,99.99
11,03시 1구간,99.52
12,03시 2구간,99.52
13,03시 3구간,99.52
14,03시 4구간,99.52
15,04시 1구간,-0.68
16,04시 2구간,99.46
17,04시 3구간,99.46
18,04시 4구간,99.46
19,05시 1구간,99.46
20,05시 2구간,99.46
21,05시 3구간,99.46
22,05시 4구간,99.46
23,06시 1구간,99.52
24,06시 2구간,99.52
25,06시 3구간,99.52
26,06시 4구간,99.52
27,07시 1구간,138.81
28,07시 2구간,138.81
29,07시 3구간,138.81
30,07시 4구간,138.81
31,08시 1구간,135.89
32,08시 2구간,135.89
33,08시 3구간,135.89
34,08시 4구간,135.89
35,09시 1구간,136.36
36,09시 2구간,136.36
37,09시 3구간,136.36
38,09시 4구간,136.36
39,10시 1구간,144.47
40,10시 2구간,144.47
41,10시 3구간,144.47
42,10시 4구간,144.47
43,11시 1구간,144.47
44,11시 2구간,144.47
45,11시 3구간,144.47
46,11시 4구간,144.47
47,12시 1구간,144.47
48,12시 2구간,144.47
49,12시 3구간,144.47
50,12시 4구간,144.47
51,13시 1구간,138.53
52,13시 2구간,138.53
53,13시 3구간,138.53
54,13시 4구간,138.53
55,14시 1구간,152.35
56,14시 2구간,152.35
57,14시 3구간,152.35
58,14시 4구간,152.35
59,15시 1구간,152.35
60,15시 2구간,152.35
61,15시 3구간,152.35
62,15시 4구간,152.35
63,16시 1구간,152.35
64,16시 2구간,152.35
65,16시 3구간,152.35
66,16시 4구간,152.35
67,17시 1구간,153.01
68,17시 2구간,153.01
69,17시 3구간,153.01
70,17시 4구간,153.01
71,18시 1구간,152.35
72,18시 2구간,152.35
73,18시 3구간,152.35
74,18시 4구간,152.35
75,19시 1구간,152.51
76,19시 2구간,152.51
77,19시 3구간,152.51
78,19시 4구간,152.51
79,20시 1구간,152.51
80,20시 2구간,152.51
81,20시 3구간,152.51
82,20시 4구간,152.51
83,21시 1구간,152.6
84,21시 2구간,152.6
85,21시 3구간,152.6
86,21시 4구간,152.6
87,22시 1구간,152.6
88,22시 2구간,152.6
89,22시 3구간,152.6
90,22시 4구간,152.6
91,23시 1구간,152.74
92,23시 2구간,152.74
93,23시 3구간,152.74
94,23시 4구간,152.74
95,24시 1구간,152.99
96,24시 2구간,152.99
97,24시 3구간,152.99
98,24시 4구간,152.99
