,시간,06-17 (월)
0,최대,175.8
1,최소,93.85
2,가중평균,137.31
3,01시 1구간,97.58
4,01시 2구간,97.58
5,01시 3구간,97.58
6,01시 4구간,97.58
7,02시 1구간,93.92
8,02시 2구간,93.92
9,02시 3구간,93.92
10,02시 4구간,93.92
11,03시 1구간,93.85
12,03시 2구간,93.85
13,03시 3구간,93.85
14,03시 4구간,93.85
15,04시 1구간,93.85
16,04시 2구간,93.85
17,04시 3구간,93.85
18,04시 4구간,93.85
19,05시 1구간,93.85
20,05시 2구간,93.85
21,05시 3구간,93.85
22,05시 4구간,93.85
23,06시 1구간,93.85
24,06시 2구간,93.85
25,06시 3구간,93.85
26,06시 4구간,93.85
27,07시 1구간,96.7
28,07시 2구간,96.7
29,07시 3구간,96.7
30,07시 4구간,96.7
31,08시 1구간,102.25
32,08시 2구간,102.25
33,08시 3구간,102.25
34,08시 4구간,102.25
35,09시 1구간,150.76
36,09시 2구간,150.76
37,09시 3구간,150.76
38,09시 4구간,150.76
39,10시 1구간,150.27
40,10시 2구간,150.27
41,10시 3구간,150.27
42,10시 4구간,150.27
43,11시 1구간,175.44
44,11시 2구간,175.44
45,11시 3구간,175.44
46,11시 4구간,175.44
47,12시 1구간,175.8
48,12시 2구간,175.8
49,12시 3구간,175.8
50,12시 4구간,175.8
51,13시 1구간,136.44
52,13시 2구간,136.44
53,13시 3구간,149.89
54,13시 4구간,149.89
55,14시 1구간,149.89
56,14시 2구간,149.89
57,14시 3구간,149.89
58,14시 4구간,149.89
59,15시 1구간,151.19
60,15시 2구간,151.19
61,15시 3구간,151.19
62,15시 4구간,151.19
63,16시 1구간,153.89
64,16시 2구간,153.89
65,16시 3구간,153.89
66,16시 4구간,153.89
67,17시 1구간,153.85
68,17시 2구간,153.85
69,17시 3구간,153.85
70,17시 4구간,153.85
71,18시 1구간,150.32
72,18시 2구간,150.32
73,18시 3구간,150.32
74,18시 4구간,150.32
75,19시 1구간,150.43
76,19시 2구간,150.43
77,19시 3구간,150.43
78,19시 4구간,150.43
79,20시 1구간,150.54
80,20시 2구간,150.54
81,20시 3구간,150.54
82,20시 4구간,150.54
83,21시 1구간,150.77
84,21시 2구간,150.77
85,21시 3구간,150.77
86,21시 4구간,150.77
87,22시 1구간,150.35
88,22시 2구간,150.35
89,22시 3구간,150.35
90,22시 4구간,150.35
91,23시 1구간,150.86
92,23시 2구간,150.86
93,23시 3구간,150.86
94,23시 4구간,150.86
95,24시 1구간,151.08
96,24시 2구간,151.08
97,24시 3구간,151.08
98,24시 4구간,130.8
