,시간,09-27 (금)
0,최대,161.72
1,최소,106.34
2,가중평균,145.85
3,01시 1구간,106.69
4,01시 2구간,106.69
5,01시 3구간,106.69
6,01시 4구간,106.69
7,02시 1구간,106.7
8,02시 2구간,106.7
9,02시 3구간,106.7
10,02시 4구간,106.7
11,03시 1구간,106.7
12,03시 2구간,106.7
13,03시 3구간,106.7
14,03시 4구간,106.7
15,04시 1구간,106.34
16,04시 2구간,106.34
17,04시 3구간,106.34
18,04시 4구간,106.34
19,05시 1구간,106.57
20,05시 2구간,106.57
21,05시 3구간,106.57
22,05시 4구간,106.57
23,06시 1구간,106.72
24,06시 2구간,106.72
25,06시 3구간,106.72
26,06시 4구간,106.72
27,07시 1구간,131.93
28,07시 2구간,131.93
29,07시 3구간,131.93
30,07시 4구간,131.93
31,08시 1구간,161.72
32,08시 2구간,161.72
33,08시 3구간,161.72
34,08시 4구간,161.72
35,09시 1구간,160.51
36,09시 2구간,160.51
37,09시 3구간,160.51
38,09시 4구간,160.51
39,10시 1구간,160.08
40,10시 2구간,160.08
41,10시 3구간,160.08
42,10시 4구간,160.08
43,11시 1구간,152.82
44,11시 2구간,152.82
45,11시 3구간,152.82
46,11시 4구간,152.82
47,12시 1구간,149.09
48,12시 2구간,149.09
49,12시 3구간,149.09
50,12시 4구간,149.09
51,13시 1구간,144.06
52,13시 2구간,144.06
53,13시 3구간,144.06
54,13시 4구간,144.06
55,14시 1구간,152.2
56,14시 2구간,152.2
57,14시 3구간,152.2
58,14시 4구간,152.2
59,15시 1구간,149.68
60,15시 2구간,149.68
61,15시 3구간,149.68
62,15시 4구간,149.68
63,16시 1구간,161.27
64,16시 2구간,161.27
65,16시 3구간,161.27
66,16시 4구간,161.27
67,17시 1구간,161.27
68,17시 2구간,161.27
69,17시 3구간,161.27
70,17시 4구간,161.27
71,18시 1구간,161.27
72,18시 2구간,161.27
73,18시 3구간,161.27
74,18시 4구간,161.27
75,19시 1구간,161.08
76,19시 2구간,161.08
77,19시 3구간,161.08
78,19시 4구간,161.08
79,20시 1구간,161.33
80,20시 2구간,161.33
81,20시 3구간,161.33
82,20시 4구간,161.33
83,21시 1구간,161.33
84,21시 2구간,161.33
85,21시 3구간,161.33
86,21시 4구간,161.33
87,22시 1구간,159.15
88,22시 2구간,159.15
89,22시 3구간,159.15
90,22시 4구간,159.15
91,23시 1구간,156.69
92,23시 2구간,156.69
93,23시 3구간,156.69
94,23시 4구간,156.69
95,24시 1구간,156.69
96,24시 2구간,156.69
97,24시 3구간,156.69
98,24시 4구간,156.69
