,시간,07-27 (토)
0,최대,155.31
1,최소,102.03
2,가중평균,137.55
3,01시 1구간,136.39
4,01시 2구간,136.39
5,01시 3구간,136.39
6,01시 4구간,136.39
7,02시 1구간,120.05
8,02시 2구간,120.05
9,02시 3구간,120.05
10,02시 4구간,120.05
11,03시 1구간,115.19
12,03시 2구간,115.19
13,03시 3구간,115.19
14,03시 4구간,115.19
15,04시 1구간,102.03
16,04시 2구간,102.03
17,04시 3구간,102.03
18,04시 4구간,102.03
19,05시 1구간,102.03
20,05시 2구간,102.03
21,05시 3구간,102.03
22,05시 4구간,102.03
23,06시 1구간,102.03
24,06시 2구간,102.03
25,06시 3구간,102.03
26,06시 4구간,102.03
27,07시 1구간,104.88
28,07시 2구간,104.88
29,07시 3구간,104.88
30,07시 4구간,104.88
31,08시 1구간,104.88
32,08시 2구간,104.88
33,08시 3구간,104.88
34,08시 4구간,104.88
35,09시 1구간,136.79
36,09시 2구간,136.79
37,09시 3구간,136.79
38,09시 4구간,136.79
39,10시 1구간,139.53
40,10시 2구간,139.53
41,10시 3구간,139.53
42,10시 4구간,139.53
43,11시 1구간,145.42
44,11시 2구간,145.42
45,11시 3구간,152.14
46,11시 4구간,152.14
47,12시 1구간,152.87
48,12시 2구간,152.87
49,12시 3구간,152.87
50,12시 4구간,152.87
51,13시 1구간,152.87
52,13시 2구간,152.87
53,13시 3구간,152.87
54,13시 4구간,152.87
55,14시 1구간,152.87
56,14시 2구간,152.87
57,14시 3구간,152.87
58,14시 4구간,152.87
59,15시 1구간,152.87
60,15시 2구간,152.87
61,15시 3구간,152.87
62,15시 4구간,152.87
63,16시 1구간,151.77
64,16시 2구간,151.77
65,16시 3구간,151.77
66,16시 4구간,151.77
67,17시 1구간,139.5
68,17시 2구간,139.5
69,17시 3구간,139.5
70,17시 4구간,139.5
71,18시 1구간,139.48
72,18시 2구간,139.48
73,18시 3구간,139.48
74,18시 4구간,139.48
75,19시 1구간,139.51
76,19시 2구간,139.51
77,19시 3구간,139.51
78,19시 4구간,139.51
79,20시 1구간,155.07
80,20시 2구간,155.07
81,20시 3구간,155.07
82,20시 4구간,155.07
83,21시 1구간,155.31
84,21시 2구간,155.31
85,21시 3구간,155.31
86,21시 4구간,155.31
87,22시 1구간,155.31
88,22시 2구간,155.31
89,22시 3구간,155.31
90,22시 4구간,155.31
91,23시 1구간,155.31
92,23시 2구간,135.52
93,23시 3구간,135.52
94,23시 4구간,135.52
95,24시 1구간,135.52
96,24시 2구간,135.52
97,24시 3구간,135.52
98,24시 4구간,135.52
