,시간,03-02 (토)
0,최대,316.94
1,최소,-77.9
2,가중평균,142.28
3,01시 1구간,167.0
4,01시 2구간,170.66
5,01시 3구간,169.38
6,01시 4구간,100.28
7,02시 1구간,99.48
8,02시 2구간,250.03
9,02시 3구간,138.5
10,02시 4구간,136.89
11,03시 1구간,138.01
12,03시 2구간,138.37
13,03시 3구간,136.7
14,03시 4구간,136.72
15,04시 1구간,138.33
16,04시 2구간,137.8
17,04시 3구간,91.24
18,04시 4구간,91.24
19,05시 1구간,255.56
20,05시 2구간,91.24
21,05시 3구간,91.24
22,05시 4구간,91.24
23,06시 1구간,95.38
24,06시 2구간,95.38
25,06시 3구간,95.38
26,06시 4구간,95.38
27,07시 1구간,99.48
28,07시 2구간,99.48
29,07시 3구간,181.38
30,07시 4구간,99.48
31,08시 1구간,141.42
32,08시 2구간,140.36
33,08시 3구간,140.58
34,08시 4구간,102.02
35,09시 1구간,101.85
36,09시 2구간,101.85
37,09시 3구간,101.85
38,09시 4구간,101.85
39,10시 1구간,104.14
40,10시 2구간,104.14
41,10시 3구간,104.14
42,10시 4구간,104.14
43,11시 1구간,100.76
44,11시 2구간,100.76
45,11시 3구간,100.76
46,11시 4구간,100.76
47,12시 1구간,95.88
48,12시 2구간,0.0
49,12시 3구간,0.0
50,12시 4구간,-19.0
51,13시 1구간,-73.65
52,13시 2구간,-76.94
53,13시 3구간,-77.9
54,13시 4구간,-73.65
55,14시 1구간,0.0
56,14시 2구간,0.0
57,14시 3구간,0.0
58,14시 4구간,0.0
59,15시 1구간,99.48
60,15시 2구간,99.48
61,15시 3구간,99.48
62,15시 4구간,-73.65
63,16시 1구간,0.0
64,16시 2구간,100.55
65,16시 3구간,100.55
66,16시 4구간,100.55
67,17시 1구간,99.48
68,17시 2구간,99.48
69,17시 3구간,99.48
70,17시 4구간,99.48
71,18시 1구간,100.55
72,18시 2구간,100.55
73,18시 3구간,100.55
74,18시 4구간,100.55
75,19시 1구간,165.96
76,19시 2구간,170.67
77,19시 3구간,171.45
78,19시 4구간,310.58
79,20시 1구간,310.43
80,20시 2구간,309.31
81,20시 3구간,312.7
82,20시 4구간,314.82
83,21시 1구간,316.94
84,21시 2구간,316.94
85,21시 3구간,316.22
86,21시 4구간,314.82
87,22시 1구간,314.82
88,22시 2구간,314.77
89,22시 3구간,308.57
90,22시 4구간,311.94
91,23시 1구간,312.7
92,23시 2구간,311.6
93,23시 3구간,170.61
94,23시 4구간,170.61
95,24시 1구간,170.61
96,24시 2구간,169.82
97,24시 3구간,168.42
98,24시 4구간,140.94
